epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,544.018,0.75385,0.6065,2.35278,0.98343,1,0.995,0.84943,0.67179,0.45324,2.25505,0.0017162,0.0017162,0.0017162
45,555.837,0.71475,0.54646,2.27594,0.98523,1,0.995,0.83467,0.61118,0.4199,2.07903,0.0017096,0.0017096,0.0017096
46,568.285,0.81642,0.73451,2.43674,0.91447,1,0.98794,0.82452,0.60656,0.5881,2.11848,0.001703,0.001703,0.001703
47,579.998,0.70988,0.56322,2.23367,0.99551,1,0.995,0.83182,0.66098,0.42965,2.20807,0.0016964,0.0016964,0.0016964
48,592.06,0.67156,0.52403,2.21871,0.99241,1,0.995,0.84636,0.62527,0.40155,2.16835,0.0016898,0.0016898,0.0016898
49,604.246,0.77615,0.59436,2.35193,0.87768,1,0.98794,0.86495,0.58845,0.53673,2.17124,0.0016832,0.0016832,0.0016832
50,616.111,0.72569,0.55441,2.33946,0.99422,1,0.995,0.84807,0.5979,0.40006,2.12184,0.0016766,0.0016766,0.0016766
51,628.186,0.74363,0.59545,2.39315,0.99101,1,0.995,0.8707,0.57815,0.39188,2.22196,0.00167,0.00167,0.00167
52,640.43,0.73954,0.59976,2.30628,0.99617,1,0.995,0.86305,0.56333,0.35378,2.12479,0.0016634,0.0016634,0.0016634
53,652.068,0.71106,0.55564,2.13465,0.99498,1,0.995,0.80758,0.70463,0.35533,2.13127,0.0016568,0.0016568,0.0016568
54,665.911,0.7125,0.56485,2.2977,0.99513,1,0.995,0.87247,0.54064,0.36658,2.17145,0.0016502,0.0016502,0.0016502
55,678.499,0.70866,0.58578,2.25196,0.99605,1,0.995,0.87499,0.54083,0.37663,2.17275,0.0016436,0.0016436,0.0016436
56,690.923,0.68533,0.60854,2.24911,0.9929,1,0.995,0.81872,0.5866,0.40083,2.1203,0.001637,0.001637,0.001637
57,702.482,0.75739,0.56454,2.21508,0.98551,1,0.995,0.83647,0.65612,0.40794,2.11998,0.0016304,0.0016304,0.0016304
58,714.567,0.63207,0.58298,2.07359,0.98929,1,0.995,0.85717,0.54498,0.38885,2.20195,0.0016238,0.0016238,0.0016238
59,726.091,0.69725,0.54697,2.21788,0.99577,1,0.995,0.83719,0.63755,0.41553,2.10811,0.0016172,0.0016172,0.0016172
60,738.079,0.65556,0.88099,2.02111,0.99576,1,0.995,0.87145,0.60639,0.36956,2.09215,0.0016106,0.0016106,0.0016106
